processName,oreGrade,temperature,pressure,leachingTime,recoveryRate,efficiency,wasteGenerated,waterUsage,energyConsumption,co2Emissions,status
Copper Heap Leach - Batch 1,1.8,55,1.2,720,78.3,72.1,180,620,210,1050,Alert
Copper Heap Leach - Batch 2,2.1,60,1.3,696,82.5,76.4,165,580,225,1120,Warning
Copper Heap Leach - Batch 3,2.4,62,1.2,744,85.1,80.2,150,550,218,1080,Warning
Copper Heap Leach - Batch 4,1.9,58,1.4,720,79.8,73.9,175,610,230,1150,Alert
Copper Heap Leach - Batch 5,2.6,65,1.3,672,88.4,83.7,130,490,205,1020,Optimal
Copper Heap Leach - Batch 6,2.3,63,1.2,720,86.2,81.5,142,520,212,1060,Optimal
Copper Heap Leach - Batch 7,2.0,57,1.5,744,81.0,75.3,168,595,235,1180,Warning
Copper Heap Leach - Batch 8,2.8,68,1.3,696,90.1,85.9,118,460,198,990,Optimal
Copper Heap Leach - Batch 9,1.7,52,1.2,768,76.5,70.8,192,640,245,1230,Alert
Copper Heap Leach - Batch 10,2.5,64,1.4,720,87.6,82.8,135,505,208,1040,Optimal
Copper Heap Leach - Batch 11,2.2,61,1.3,720,84.3,79.1,155,560,220,1100,Warning
Copper Heap Leach - Batch 12,3.0,70,1.2,648,92.4,88.2,105,430,190,950,Optimal
