processName,oreGrade,temperature,pressure,leachingTime,recoveryRate,efficiency,wasteGenerated,waterUsage,energyConsumption,co2Emissions,status
Nickel HPAL - Autoclave 1,1.5,255,40.0,1.5,88.2,80.5,320,950,380,1920,Warning
Nickel HPAL - Autoclave 2,1.8,260,42.0,1.5,91.5,84.3,290,890,390,1970,Optimal
Nickel HPAL - Autoclave 3,1.3,250,38.0,2.0,85.0,77.2,350,1020,370,1870,Alert
Nickel HPAL - Autoclave 4,2.0,265,44.0,1.2,93.8,87.1,265,840,400,2020,Optimal
Nickel HPAL - Autoclave 5,1.4,252,39.0,1.8,86.3,78.9,335,990,375,1895,Alert
Nickel HPAL - Autoclave 6,1.9,262,43.0,1.3,92.7,85.8,275,860,395,1995,Optimal
Nickel HPAL - Autoclave 7,1.6,257,41.0,1.5,89.5,81.7,305,920,385,1945,Warning
Nickel HPAL - Autoclave 8,2.1,268,45.0,1.0,94.9,88.6,250,810,410,2070,Optimal
Nickel HPAL - Autoclave 9,1.2,245,36.0,2.2,82.1,74.8,380,1080,360,1820,Alert
Nickel HPAL - Autoclave 10,1.7,258,41.5,1.5,90.1,83.0,298,905,388,1960,Warning
